IVF2
Run 0: Recall = 0.906, Throughput = 38431.715
Run 1: Recall = 0.920, Throughput = 35516.349
Run 2: Recall = 0.930, Throughput = 35361.030
Run 3: Recall = 0.948, Throughput = 34935.464
Run 4: Recall = 0.906, Throughput = 37456.266
Run 5: Recall = 0.920, Throughput = 36564.431
Run 6: Recall = 0.948, Throughput = 35282.198
Run 7: Recall = 0.904, Throughput = 41598.195
Run 8: Recall = 0.904, Throughput = 48414.427
Run 9: Recall = 0.904, Throughput = 40827.597

YFCC
Filteredvamana R=96
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  16    32374.30            126.58             1970.65       16375.54       17.84
  32    21765.80            188.57             2936.90       15690.63       24.49
  64    15942.09            285.12             4009.41       26114.79       30.86
 128    10750.16            438.68             5944.20       21092.33       36.34
 256     6497.94            700.94             9841.38       43983.93       40.80
 512     3711.58           1149.64            17221.56       70648.98       43.99
1024     2003.64           1933.98            31902.06      134288.83       46.06

Stitchvamana R=64
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  16    31280.96            233.16             2039.55       16058.93       44.97
  32    21266.34            329.05             3004.00       18669.98       52.77
  64    16516.96            487.53             3870.26       27538.51       58.42
 128    10869.67            759.86             5881.83       27858.98       62.30
 256     6663.19           1232.49             9598.92       28448.54       64.85
 512     3690.34           2058.21            17329.50       57946.36       66.52
1024     1965.71           3503.46            32532.11      101853.38       67.58




Synthetic dataset
SIFT-1M
Filteredvamana R=96
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    36852.24            103.54             1705.62       21328.96       13.46
  16    34645.52            136.05             1838.34        4128.37       17.19
  32    24089.34            209.59             2639.42        6271.40       23.83
  64    13621.47            333.14             4669.02       22930.95       31.61
 128     8994.33            539.06             7083.15       30732.03       39.58
 256     5299.78            882.78            11990.76       45606.88       46.94
 512     2939.67           1475.71            21641.02       75313.91       53.70
1024     1608.81           2485.12            39596.68       99299.58       59.14

Stitchvamana R=64
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    34531.01            268.98             1821.74       31170.87       64.69
  16    32149.80            341.80             1982.15        4583.47       76.63
  32    23408.20            493.21             2712.89       15601.74       89.37
  64    15798.99            743.97             4028.74        7733.35       96.02
 128     8963.55           1166.08             7019.90       12855.38       98.75
 256     5641.99           1860.12            11292.58       28675.82       99.67
 512     3093.83           2965.88            20599.77       53638.11       99.92
1024     1685.16           4679.25            37853.65       96697.17       99.97

Zero Redundancy IVF-CAGRA
Graph Degree 16
itopk_size    topk         QPS    Recall
=================================================
        8       1    1.34e+07      0.61
       10       1    1.06e+07      0.74
       12       1    9.41e+06      0.79
       14       1    8.45e+06      0.83
       16       1    7.86e+06      0.86
       18       1    6.62e+06      0.88
       20       1    6.34e+06      0.90
       22       1    5.83e+06      0.92
       24       1    5.55e+06      0.93
       26       1    4.78e+06      0.94
       28       1    4.69e+06      0.95
       30       1    4.52e+06      0.95
       32       1    4.35e+06      0.96
        8      10    1.31e+07      0.52
       12      10    9.27e+06      0.71
       16      10    7.90e+06      0.79
       24      10    5.70e+06      0.88
       32      10    4.43e+06      0.93
       40      10    3.32e+06      0.95
       48      10    2.83e+06      0.97
       56      10    2.58e+06      0.98
       64      10    2.26e+06      0.98
      100     100    1.39e+06      0.96
      104     100    1.39e+06      0.96
      108     100    1.33e+06      0.96
      112     100    1.25e+06      0.97
      116     100    1.24e+06      0.97
      120     100    1.23e+06      0.97
      128     100    1.23e+06      0.97
      256     100    5.56e+05      0.99

CAGRA inline-filter
Graph Degree 16
itopk_size    topk         QPS    Recall
=================================================
       32       1    2.72e+06      0.63
       64       1    1.55e+06      0.80
       80       1    1.12e+06      0.87
       96       1    1.14e+06      0.87
      112       1    8.57e+05      0.91
      120       1    8.87e+05      0.91
      128       1    8.37e+05      0.92
      144       1    7.24e+05      0.94
      160       1    7.30e+05      0.94
      128      10    8.08e+05      0.62
      160      10    7.02e+05      0.69
      192      10    6.12e+05      0.75
      224      10    5.31e+05      0.79
      256      10    4.74e+05      0.83
      288      10    4.28e+05      0.85
      320      10    3.91e+05      0.87
      352      10    3.59e+05      0.89
      512      10    2.54e+05      0.94
     1024      10    1.35e+05      0.99
     2048      10    7.13e+04      1.00
      512     100    2.51e+05      0.39
     1024     100    1.34e+05      0.60
     1536     100    9.31e+04      0.73
     2048     100    7.11e+04      0.82
     2560     100    5.81e+04      0.88
     3072     100    4.94e+04      0.91
     3584     100    4.27e+04      0.94
     4096     100    3.80e+04      0.95
