query_id	labels	specificity
0	28	0.0705726
1	851 769	0.0007762
2	108757	1.48e-05
3	5692 2212	0.0009761
4	1447 23	0.0022424
5	2169	0.0047348
6	90	0.0180512
7	3432 3075	0.0002259
8	3805 414	0.0002124
9	7616 426	0.0002602
10	2	0.0581971
11	35	0.0368312
12	28	0.0705726
13	4736	0.0033444
14	3975	0.0019074
15	1871 1515	2.91e-05
16	25	0.0176508
17	35	0.0368312
18	2	0.0581971
19	95	0.0110695
20	4839 1119	4.73e-05
21	4	0.113336
22	2493 549	3.08e-05
23	1225	0.0051101
24	8	0.137973
25	2493	0.0028101
26	11246 100	0.0001313
27	6096 2289	2.51e-05
28	45951 8644	2.54e-05
29	1486 103	0.0008446
30	8665 4669	0.000118
31	3998	0.0048233
32	1589 29	0.0004695
33	6374 936	4.14e-05
34	89	0.170741
35	100	0.0508944
36	142	0.0086892
37	131001	1.19e-05
38	9444 464	0.0001929
39	4	0.113336
40	2148	0.0018082
41	69990 91	5.77e-05
42	90	0.0180512
43	8667 8606	0.0003626
44	93	0.0154208
45	7118	0.0021016
46	7	0.133382
47	89	0.170741
48	102	0.0058842
49	1958	0.0042135
50	22181	0.0007819
51	54231 23	3.03e-05
52	93564	1.74e-05
53	907 29	0.0003073
54	19615 654	3.87e-05
55	1985 1897	0.0001995
56	8633 9	0.000296
57	7909 1980	1.92e-05
58	2623 17	0.0002469
59	10619 1840	0.0002468
60	4454	0.0049355
61	42	0.0085986
62	131	0.0051747
63	18219 1508	0.0001127
64	1085	0.0043584
65	142	0.0086892
66	17	0.0991156
67	4860	0.0025646
68	35	0.0368312
69	635	0.0047455
70	95	0.0110695
71	30436 29	4.52e-05
72	8096 3798	8.53e-05
73	110	0.0011454
74	5851 4729	2.17e-05
75	5686	0.0026587
76	53866	1.6e-05
77	38	0.0296922
78	43005 932	1.79e-05
79	17	0.0991156
80	3606	0.003805
81	8	0.137973
82	8	0.137973
83	2	0.0581971
84	2964	0.0034822
85	1154 933	0.0003679
86	95	0.0110695
87	28	0.0705726
88	29	0.191599
89	11808 606	0.0011223
90	337	0.0063807
91	7	0.133382
92	35	0.0368312
93	20	0.0851688
94	2006	0.0054106
95	38	0.0296922
96	29	0.191599
97	11162 345	8.2e-05
98	12772	0.0007804
99	6125 29	0.000133
100	3279 2195	0.0006826
101	25373 4437	0.0001277
102	11070 968	7.02e-05
103	106	0.0203896
104	339	0.0080063
105	13857	0.0001831
106	3580 23	0.0006422
107	736	0.0027229
108	3924 23	0.0005581
109	407 23	0.0010005
110	4	0.113336
111	59574	1.5e-05
112	3312 938	1.04e-05
113	129742	8.8e-06
114	42728 8215	1.66e-05
115	2	0.0581971
116	6506 630	3.57e-05
117	19	0.0869037
118	26	0.0073
119	7333 6	0.0001932
120	4735	0.0003623
121	14873 8230	1.79e-05
122	6266 904	0.0001762
123	11807 623	0.0001866
124	67343	1.93e-05
125	8844 40	0.0002681
126	7037 22	0.0001334
127	392 89	0.0029349
128	2493	0.0028101
129	91	0.0236403
130	4974 6	0.0002211
131	12	0.0648527
132	3149 351	0.0006734
133	8921 6	5.96e-05
134	99423 25205	3.1e-05
135	2364	0.0028897
136	45503	1.7e-05
137	13493	0.0003807
138	3798 1268	0.000294
139	123796	1.58e-05
140	11547 6	6.94e-05
141	22741 7949	3.42e-05
142	2771	0.0019032
143	1268 1225	0.0001754
144	515	0.0058954
145	1277	0.0024261
146	35683	1.48e-05
147	19	0.0869037
148	337	0.0063807
149	348	0.006714
150	91	0.0236403
151	1227 444	5.97e-05
152	95	0.0110695
153	38	0.0296922
154	4	0.113336
155	38	0.0296922
156	6303 1923	3.46e-05
157	1027	0.0048896
158	1193 1192	4.2e-05
159	61822	7.7e-05
160	91	0.0236403
161	4078	0.0010746
162	18127	0.0003367
163	63278 7161	1.18e-05
164	2919	0.0034213
165	2966 2765	0.000171
166	91	0.0236403
167	1085	0.0043584
168	20	0.0851688
169	1351 7	0.0004955
170	14217 3200	3.5e-05
171	7605	0.0004557
172	2651 1476	6.41e-05
173	4	0.113336
174	4859 2787	4.54e-05
175	95	0.0110695
176	2376	0.0032562
177	6915 4656	2.31e-05
178	1546 21	0.0001975
179	40861 741	1.79e-05
180	17172 1391	4.63e-05
181	16930 8	0.0001059
182	62362	1.16e-05
183	17	0.0991156
184	2	0.0581971
185	2027 342	0.0018742
186	3975 1154	9.34e-05
187	17	0.0991156
188	0	0.0097939
189	95	0.0110695
190	4412	0.0008132
191	8047	0.0017772
192	13	0.0805928
193	945	0.0018727
194	107	0.0105398
195	1985	0.0055809
196	8	0.137973
197	4401 4370	0.0001765
198	4032 21	0.0001997
199	100	0.0508944
200	4	0.113336
201	5764 4	9.99e-05
202	6141 933	0.0002245
203	26	0.0073
204	768 19	0.0006415
205	8	0.137973
206	2969 89	0.000226
207	140	0.0044164
208	68102	2.11e-05
209	2406 727	0.0004055
210	6562	0.002253
211	38	0.0296922
212	1402 425	0.0001112
213	2656	0.0052612
214	18185 610	3.51e-05
215	1	0.0266844
216	858	0.0023757
217	3556	0.0025624
218	86576	1.99e-05
219	1	0.0266844
220	4403 22	0.0029487
221	20	0.0851688
222	24502 8096	1.92e-05
223	26	0.0073
224	10656 18	0.0001113
225	2169	0.0047348
226	1675	0.0024083
227	8660 8632	0.0006264
228	7546 14	0.0004147
229	140	0.0044164
230	2289	0.0019961
231	349	0.0052017
232	6040	0.0021363
233	113214	1.4e-05
234	622	0.0015665
235	38	0.0296922
236	35	0.0368312
237	10557 29	0.0003826
238	4442 90	0.0025545
239	3081	0.0013307
240	8627 8580	1.92e-05
241	4403 345	0.000233
242	24486	2.08e-05
243	40	0.0081678
244	100	0.0508944
245	65280	1.35e-05
246	0	0.0097939
247	47789	1.12e-05
248	38	0.0296922
249	1	0.0266844
250	6907 3870	5.98e-05
251	10595 23	5.65e-05
252	1904 17	0.0005688
253	53667 89	2.69e-05
254	12	0.0648527
255	3862 2108	1.91e-05
256	16	0.0909268
257	5013	0.000809
258	106	0.0203896
259	48040 100	6.05e-05
260	8	0.137973
261	1345 9	7.98e-05
262	20472 2241	0.0001639
263	8194 16	2.36e-05
264	13493 23	0.0001317
265	1569 23	0.0004066
266	2608 5	0.0003841
267	27525 1876	3.47e-05
268	29	0.191599
269	38	0.0296922
270	71298	1.94e-05
271	40	0.0081678
272	345	0.034881
273	122950 6001	3.28e-05
274	4080 5	0.0003859
275	5511 2528	2.28e-05
276	35	0.0368312
277	2982 18	0.0003362
278	851 16	0.0003935
279	126	0.0031473
280	2435 648	0.0001376
281	38	0.0296922
282	1175 8	0.0007385
283	335	0.0072052
284	9459	0.0005856
285	0	0.0097939
286	3138 363	0.0004024
287	21025 2964	2.26e-05
288	4442	0.0042939
289	4403 23	0.0012706
290	7808 363	0.0002422
291	1958 6	0.0006982
292	13044	0.0007956
293	609 5	0.0004
